t,M
1,-0.9816214942008791
2,-0.9394336269577939
3,-0.922798066488929
4,-0.9680982362543264
5,-0.9859350686055267
6,-0.9599876502028573
7,-0.9694459767549366
8,-0.99
9,-0.9816214942008791
10,-0.9636574699688814
11,-0.9778244825540576
12,-0.99
13,-0.984187604307798
14,-0.99
15,-0.9778244825540576
16,-0.99
17,-0.99
18,-0.9458206376176811
19,-0.99
20,-0.940008241925479
21,-0.8891739491356212
22,-0.99
23,-0.99
24,-0.9637846618496788
25,-0.9543263352975995
26,-0.9721631676487997
27,-0.99
28,-0.9721631676487997
29,-0.9816214942008791
30,-0.99
31,-0.9778244825540576
32,-0.9337723120525362
33,-0.99
34,-0.9778244825540576
35,-0.9721631676487997
36,-0.99
37,-0.9721631676487997
38,-0.9816214942008791
39,-0.99
40,-0.9721631676487997
41,-0.9478121327569148
42,-0.9221714095742788
43,-0.8690389264251539
44,-0.99
45,-0.99
46,-0.9307872014110213
47,-0.9394336269577939
48,-0.99
49,-0.8892840432924454
50,-0.9778244825540576
51,-0.945669556830737
52,-0.9117433564260651
53,-0.984187604307798
54,-0.99
55,-0.9778244825540576
56,-0.9541752545106552
57,-0.99
58,-0.9570025395613424
59,-0.9636574699688814
60,-0.9637846618496788
61,-0.8923101405640804
62,-0.99
63,-0.9195814105612132
64,-0.9214696027257963
65,-0.9075569739022149
66,-0.9636574699688814
67,-0.99
68,-0.99
69,-0.9027210959883206
70,-0.9637846618496788
71,-0.99
72,-0.99
73,-0.9085096027743759
74,-0.9732429884017582
75,-0.99
76,-0.9064771531492565
77,-0.8395431393858372
78,-0.8948352640408791
79,-0.99
80,-0.9637846618496788
81,-0.9778244825540576
82,-0.9552789641697604
83,-0.99
84,-0.942150817851657
85,-0.99
86,-0.8772902403434774
87,-0.9816214942008791
88,-0.9721631676487997
89,-0.99
90,-0.9419997370647127
91,-0.9721631676487997
92,-0.9816214942008791
93,-0.9373149399377627
94,-0.9816214942008791
95,-0.99
96,-0.9168881085734968
97,-0.934724940924697
98,-0.99
99,-0.9251394224918202
100,-0.99
101,0.9900000000000018
102,0.9900000000000018
103,0.9464917427976306
104,0.9900000000000018
105,0.979968554143628
106,0.9900000000000018
107,0.9652138327123602
108,0.9604905571374652
109,0.8948565075954399
110,0.9900000000000018
111,0.9683697593116392
112,0.953367262054725
113,0.9900000000000018
114,0.8755988694687511
115,0.9900000000000018
116,0.9216781585638174
117,0.9900000000000018
118,0.945708418760025
119,0.9900000000000018
120,0.9704945860476664
121,0.9900000000000018
122,0.9900000000000018
123,0.979968554143628
124,0.9633712909649261
125,0.9114263538279697
126,0.9900000000000018
127,0.9783737882218405
128,0.9704945860476664
129,0.9699371082872548
130,0.979968554143628
131,0.9480590917732462
132,0.9752452785687332
133,0.9900000000000018
134,0.9730930348865341
135,0.9604905571374652
136,0.9799685541436283
137,0.9285536778209112
138,0.8753510936431047
139,0.968121983485993
140,0.9900000000000018
141,0.9580905376296199
142,0.968121983485993
143,0.9486165695336581
144,0.979968554143628
145,0.9900000000000018
146,0.9900000000000018
147,0.8919483568218068
148,0.9604905571374652
149,0.9238029852998444
150,0.9783737882218405
151,0.9752178616225614
152,0.9900000000000018
153,0.9314892455407164
154,0.9900000000000018
155,0.9900000000000018
156,0.968121983485993
157,0.9752452785687332
158,0.979968554143628
159,0.9333043703419782
160,0.9900000000000018
161,0.9900000000000018
162,0.979968554143628
163,0.9752452785687332
164,0.9900000000000018
165,0.9604905571374652
166,0.9752452785687332
167,0.9736230957007737
168,0.9900000000000018
169,0.9900000000000018
170,0.9852493074789347
171,0.9704945860476664
172,0.9900000000000018
173,0.9309811142749289
174,0.9604905571374652
175,0.9900000000000018
176,0.979968554143628
177,0.9612464642288989
178,0.9831244807429074
179,0.9752452785687332
180,0.9900000000000018
181,0.9831244807429074
182,0.9752452785687332
183,0.9633712909649261
184,0.9900000000000018
185,0.9604905571374652
186,0.9462439669719848
187,0.968121983485993
188,0.9900000000000018
189,0.9752452785687332
190,0.9900000000000018
191,0.9900000000000018
192,0.9900000000000018
193,0.9900000000000018
194,0.8700703403077983
195,0.9900000000000018
196,0.9900000000000018
197,0.9900000000000018
198,0.9900000000000018
199,0.9900000000000018
200,0.9464643258514588
201,-0.9853766267258951
202,-0.9758119890051763
203,-0.9758119890051763
204,-0.9853766267258951
205,-0.9803151875854753
206,-0.9593614611415626
207,-0.9758119890051763
208,-0.9242197237028262
209,-0.9061850942243491
210,-0.9833354572124954
211,-0.99
212,-0.9833354572124954
